par_state,par_county,kid_race,par_pctile,shrunk_xkid_vscore2020,county_name
1,1,AIAN,75,674.4,Autauga
1,1,Hispanic,25,602.1,Autauga
1,1,Hispanic,-9,640.95,Autauga
1,1,AIAN,-9,645.2,Autauga
1,1,Asian,25,684.2,Autauga
1,1,White,50,665.7,Autauga
1,1,White,25,632.2,Autauga
1,1,Pooled,75,695.3207207207207,Autauga
1,1,Hispanic,50,640.95,Autauga
1,1,Asian,75,712.9,Autauga
1,1,Black,25,583.5,Autauga
1,1,Pooled,25,617.3470072992701,Autauga
1,1,Hispanic,75,679.8,Autauga
1,1,AIAN,50,645.2,Autauga
1,1,AIAN,25,616,Autauga
1,1,Asian,-9,698.55,Autauga
1,1,White,75,699.2,Autauga
1,1,Pooled,50,656.3338640099954,Autauga
1,1,Black,75,631.4,Autauga
1,1,Pooled,-9,658.7872093023256,Autauga
1,1,Asian,50,698.55,Autauga
1,1,White,-9,673.2086206896552,Autauga
1,1,Black,-9,591.2258064516129,Autauga
1,1,Black,50,607.45,Autauga
1,3,White,-9,678.4043103448275,Baldwin
1,3,Black,75,618.3,Baldwin
1,3,Black,25,584.3,Baldwin
1,3,Hispanic,75,686.2,Baldwin
1,3,AIAN,-9,635.1,Baldwin
1,3,Pooled,50,666.9296961963296,Baldwin
1,3,White,25,645.4,Baldwin
1,3,Black,50,601.3,Baldwin
1,3,Pooled,25,633.1831469052945,Baldwin
1,3,AIAN,75,661.6,Baldwin
1,3,Pooled,75,700.6762454873647,Baldwin
1,3,Asian,-9,706.35,Baldwin
1,3,Asian,25,695.6,Baldwin
1,3,Hispanic,-9,658.873076923077,Baldwin
1,3,Asian,75,717.1,Baldwin
1,3,Hispanic,25,645.6,Baldwin
1,3,AIAN,25,608.6,Baldwin
1,3,Black,-9,589.7906832298136,Baldwin
1,3,Asian,50,706.35,Baldwin
1,3,White,75,704.3,Baldwin
1,3,Hispanic,50,665.9000000000001,Baldwin
1,3,Pooled,-9,667.4743947175349,Baldwin
1,3,White,50,674.8499999999999,Baldwin
1,3,AIAN,50,635.1,Baldwin
1,5,Black,25,585.5,Barbour
1,5,Asian,25,692.7,Barbour
1,5,White,25,647,Barbour
1,5,Asian,75,707.8,Barbour
1,5,Hispanic,-9,664.3,Barbour
1,5,Asian,50,700.25,Barbour
1,5,Pooled,25,611.461581920904,Barbour
1,5,White,75,704.7,Barbour
1,5,Pooled,75,696.8144444444445,Barbour
1,5,Hispanic,25,643.1,Barbour
1,5,Black,50,609.25,Barbour
1,5,White,50,675.85,Barbour
1,5,Asian,-9,700.25,Barbour
1,5,Black,-9,589.25,Barbour
1,5,Pooled,50,654.1380131826743,Barbour
1,5,Black,75,633,Barbour
1,5,Pooled,-9,640.2322097378277,Barbour
1,5,White,-9,677.7452554744525,Barbour
1,5,Hispanic,75,685.5,Barbour
1,5,Hispanic,50,664.3,Barbour
1,7,Hispanic,75,688.5,Bibb
1,7,Hispanic,25,621.9,Bibb
1,7,White,75,682.2,Bibb
1,7,Black,75,618.5,Bibb
1,7,Pooled,25,608.5412280701754,Bibb
1,7,Black,-9,587.4205128205128,Bibb
1,7,Pooled,-9,634.1918918918919,Bibb
1,7,Black,50,598.95,Bibb
1,7,Hispanic,-9,655.2,Bibb
1,7,White,50,650.75,Bibb
1,7,Black,25,579.4,Bibb
1,7,White,-9,646.1920289855072,Bibb
1,7,Pooled,75,675.3774647887324,Bibb
1,7,White,25,619.3,Bibb
1,7,Hispanic,50,655.2,Bibb
1,7,Pooled,50,641.9593464294539,Bibb
1,9,Black,75,608,Blount
1,9,Black,25,596.4,Blount
1,9,Hispanic,75,677.8,Blount
1,9,Pooled,50,662.7437165336224,Blount
1,9,White,75,692.4,Blount
1,9,Hispanic,25,656.6,Blount
1,9,White,25,632,Blount
1,9,Asian,-9,721.55,Blount
1,9,AIAN,75,702,Blount
1,9,Hispanic,-9,662.8636363636364,Blount
1,9,White,50,662.2,Blount
1,9,Pooled,-9,659.40523138833,Blount
1,9,AIAN,-9,683.65,Blount
1,9,White,-9,658.8444444444444,Blount
1,9,Black,-9,602.2,Blount
1,9,Black,50,602.2,Blount
1,9,Pooled,25,634.6212230215828,Blount
1,9,Hispanic,50,667.2,Blount
1,9,AIAN,50,683.65,Blount
1,9,Pooled,75,690.8662100456621,Blount
1,9,AIAN,25,665.3,Blount
1,9,Asian,25,725.6,Blount
1,9,Asian,75,717.5,Blount
1,9,Asian,50,721.55,Blount
1,11,White,25,640.8,Bullock
1,11,Pooled,25,596.1089005235602,Bullock
1,11,Black,25,592.3,Bullock
1,11,Black,-9,595.1666666666666,Bullock
1,11,White,-9,671.2,Bullock
1,11,Pooled,-9,605.4414414414415,Bullock
1,11,Pooled,50,629.5254180037157,Bullock
1,11,White,75,701.6,Bullock
1,11,Black,50,609.5,Bullock
1,11,Pooled,75,662.941935483871,Bullock
1,11,White,50,671.2,Bullock
1,11,Black,75,626.7,Bullock
1,13,Pooled,50,646.6135863249954,Butler
1,13,Pooled,-9,628.6332142857143,Butler
1,13,Hispanic,50,636.95,Butler
1,13,Black,50,591.2,Butler
1,13,White,25,636.9,Butler
1,13,Black,-9,580.5,Butler
1,13,Hispanic,-9,636.95,Butler
1,13,Black,75,603.5,Butler
1,13,White,75,702,Butler
1,13,Hispanic,25,607.8,Butler
1,13,Pooled,25,602.451269035533,Butler
1,13,White,50,669.45,Butler
1,13,Black,25,578.9,Butler
1,13,White,-9,667.9208053691275,Butler
1,13,Pooled,75,690.7759036144578,Butler
1,13,Hispanic,75,666.1,Butler
1,15,AIAN,75,672.5,Calhoun
1,15,Pooled,25,619.0668870523416,Calhoun
1,15,Asian,25,692.8,Calhoun
1,15,Pooled,50,654.7764760171456,Calhoun
1,15,Hispanic,25,632.1,Calhoun
1,15,White,-9,664.55,Calhoun
1,15,Black,25,590.2,Calhoun
1,15,Hispanic,-9,654.6,Calhoun
1,15,White,25,631.6,Calhoun
1,15,Hispanic,50,659.1,Calhoun
1,15,White,75,697.5,Calhoun
1,15,Pooled,75,690.4860649819494,Calhoun
1,15,Black,75,633.4,Calhoun
1,15,Black,-9,599.1337110481586,Calhoun
1,15,Pooled,-9,649.978,Calhoun
1,15,AIAN,-9,635.5,Calhoun
1,15,AIAN,50,635.5,Calhoun
1,15,Hispanic,75,686.1,Calhoun
1,15,Asian,50,708.8,Calhoun
1,15,Asian,-9,708.8,Calhoun
1,15,Black,50,611.8,Calhoun
