country;variable;percentile;year;value;age;pop
DD;acaincj992;p93p94;1980;33668.3;992;j
DD;acaincj992;p93p94;1981;34486.3;992;j
DD;acaincj992;p93p94;1982;33839;992;j
DD;acaincj992;p93p94;1983;33598.6;992;j
DD;acaincj992;p93p94;1984;33749.8;992;j
DD;acaincj992;p93p94;1985;34136.8;992;j
DD;acaincj992;p93p94;1986;33999.9;992;j
DD;acaincj992;p93p94;1987;34062.3;992;j
DD;acaincj992;p93p94;1988;34364.3;992;j
DD;acaincj992;p93p94;1989;35978.7;992;j
DD;acaincj992;p93p94;1990;31605.5;992;j
DD;gcaincj992;p0p100;1980;0.2606;992;j
DD;gcaincj992;p0p100;1981;0.2585;992;j
DD;gcaincj992;p0p100;1982;0.2564;992;j
DD;gcaincj992;p0p100;1983;0.2543;992;j
DD;gcaincj992;p0p100;1984;0.2571;992;j
DD;gcaincj992;p0p100;1985;0.2599;992;j
DD;gcaincj992;p0p100;1986;0.2589;992;j
DD;gcaincj992;p0p100;1987;0.258;992;j
DD;gcaincj992;p0p100;1988;0.257;992;j
DD;gcaincj992;p0p100;1989;0.257;992;j
DD;gcaincj992;p0p100;1990;0.2571;992;j
DD;aptincj992;p45p46;1980;28235;992;j
DD;aptincj992;p45p46;1981;28608.7;992;j
DD;aptincj992;p45p46;1982;28045.3;992;j
DD;aptincj992;p45p46;1983;27974.6;992;j
DD;aptincj992;p45p46;1984;28099;992;j
DD;aptincj992;p45p46;1985;28379.2;992;j
DD;aptincj992;p45p46;1986;28442.4;992;j
DD;aptincj992;p45p46;1987;28707.3;992;j
DD;aptincj992;p45p46;1988;29069.2;992;j
DD;aptincj992;p45p46;1989;30149.6;992;j
DD;aptincj992;p45p46;1990;26127.4;992;j
DD;bptincj992;p56p100;1980;1.2964;992;j
DD;bptincj992;p56p100;1981;1.3067;992;j
DD;bptincj992;p56p100;1982;1.3173;992;j
DD;bptincj992;p56p100;1983;1.328;992;j
DD;bptincj992;p56p100;1984;1.3389;992;j
DD;bptincj992;p56p100;1985;1.3499;992;j
DD;bptincj992;p56p100;1986;1.352;992;j
DD;bptincj992;p56p100;1987;1.3541;992;j
DD;bptincj992;p56p100;1988;1.3562;992;j
DD;bptincj992;p56p100;1989;1.3562;992;j
DD;bptincj992;p56p100;1990;1.3562;992;j
DD;bcaincj992;p86p100;1980;1.1946;992;j
DD;bcaincj992;p86p100;1981;1.21;992;j
DD;bcaincj992;p86p100;1982;1.2255;992;j
DD;bcaincj992;p86p100;1983;1.2412;992;j
DD;bcaincj992;p86p100;1984;1.2564;992;j
DD;bcaincj992;p86p100;1985;1.2722;992;j
DD;bcaincj992;p86p100;1986;1.2837;992;j
DD;bcaincj992;p86p100;1987;1.2961;992;j
DD;bcaincj992;p86p100;1988;1.3079;992;j
DD;bcaincj992;p86p100;1989;1.3079;992;j
DD;bcaincj992;p86p100;1990;1.3081;992;j
DD;bcaincj992;p41p100;1980;1.4041;992;j
DD;bcaincj992;p41p100;1981;1.4134;992;j
DD;bcaincj992;p41p100;1982;1.4224;992;j
DD;bcaincj992;p41p100;1983;1.4324;992;j
DD;bcaincj992;p41p100;1984;1.4408;992;j
DD;bcaincj992;p41p100;1985;1.4494;992;j
DD;bcaincj992;p41p100;1986;1.4538;992;j
DD;bcaincj992;p41p100;1987;1.4583;992;j
DD;bcaincj992;p41p100;1988;1.4628;992;j
DD;bcaincj992;p41p100;1989;1.4627;992;j
DD;bcaincj992;p41p100;1990;1.463;992;j
DD;bcaincj992;p96p100;1980;1.151;992;j
DD;bcaincj992;p96p100;1981;1.1866;992;j
DD;bcaincj992;p96p100;1982;1.2222;992;j
DD;bcaincj992;p96p100;1983;1.2577;992;j
DD;bcaincj992;p96p100;1984;1.2851;992;j
DD;bcaincj992;p96p100;1985;1.3124;992;j
DD;bcaincj992;p96p100;1986;1.3298;992;j
DD;bcaincj992;p96p100;1987;1.3471;992;j
DD;bcaincj992;p96p100;1988;1.3643;992;j
DD;bcaincj992;p96p100;1989;1.3643;992;j
DD;bcaincj992;p96p100;1990;1.3644;992;j
DD;aptincj992;p88p100;1980;52303.10000000001;992;j
DD;aptincj992;p88p100;1981;53902.7;992;j
DD;aptincj992;p88p100;1982;53750.9;992;j
DD;aptincj992;p88p100;1983;54541.3;992;j
DD;aptincj992;p88p100;1984;55913.5;992;j
DD;aptincj992;p88p100;1985;57633.8;992;j
DD;aptincj992;p88p100;1986;58135.3;992;j
DD;aptincj992;p88p100;1987;59056.9;992;j
DD;aptincj992;p88p100;1988;60188.3;992;j
DD;aptincj992;p88p100;1989;62425;992;j
DD;aptincj992;p88p100;1990;54097.8;992;j
DD;bcaincj992;p60p100;1980;1.2742;992;j
DD;bcaincj992;p60p100;1981;1.2831;992;j
DD;bcaincj992;p60p100;1982;1.2919;992;j
DD;bcaincj992;p60p100;1983;1.3007;992;j
DD;bcaincj992;p60p100;1984;1.314;992;j
DD;bcaincj992;p60p100;1985;1.3267;992;j
DD;bcaincj992;p60p100;1986;1.3282;992;j
DD;bcaincj992;p60p100;1987;1.3294;992;j
DD;bcaincj992;p60p100;1988;1.3303;992;j
DD;bcaincj992;p60p100;1989;1.3304;992;j
DD;bcaincj992;p60p100;1990;1.3304;992;j
DD;bcaincj992;p67p100;1980;1.2477;992;j
DD;bcaincj992;p67p100;1981;1.258;992;j
DD;bcaincj992;p67p100;1982;1.2683;992;j
DD;bcaincj992;p67p100;1983;1.2789;992;j
DD;bcaincj992;p67p100;1984;1.291;992;j
DD;bcaincj992;p67p100;1985;1.3034;992;j
DD;bcaincj992;p67p100;1986;1.3058;992;j
DD;bcaincj992;p67p100;1987;1.3081;992;j
DD;bcaincj992;p67p100;1988;1.3106;992;j
DD;bcaincj992;p67p100;1989;1.3106;992;j
DD;bcaincj992;p67p100;1990;1.3106;992;j
DD;bcaincj992;p20p100;1980;1.8926;992;j
DD;bcaincj992;p20p100;1981;1.8778;992;j
DD;bcaincj992;p20p100;1982;1.8596;992;j
DD;bcaincj992;p20p100;1983;1.8397;992;j
DD;bcaincj992;p20p100;1984;1.8594;992;j
DD;bcaincj992;p20p100;1985;1.879;992;j
DD;bcaincj992;p20p100;1986;1.8927;992;j
DD;bcaincj992;p20p100;1987;1.9057;992;j
DD;bcaincj992;p20p100;1988;1.9183;992;j
DD;bcaincj992;p20p100;1989;1.9182;992;j
DD;bcaincj992;p20p100;1990;1.9186;992;j
DD;bptincj992;p13p100;1980;3.381;992;j
DD;bptincj992;p13p100;1981;3.3613;992;j
DD;bptincj992;p13p100;1982;3.3369;992;j
DD;bptincj992;p13p100;1983;3.307;992;j
DD;bptincj992;p13p100;1984;3.3417;992;j
DD;bptincj992;p13p100;1985;3.3767;992;j
DD;bptincj992;p13p100;1986;3.3992;992;j
DD;bptincj992;p13p100;1987;3.4223;992;j
DD;bptincj992;p13p100;1988;3.4463;992;j
DD;bptincj992;p13p100;1989;3.4463;992;j
DD;bptincj992;p13p100;1990;3.4463;992;j
DD;aflcini992;p0p100;1970;0;992;i
DD;aflcini992;p0p100;1971;0;992;i
DD;aflcini992;p0p100;1972;0;992;i
DD;aflcini992;p0p100;1973;0;992;i
DD;aflcini992;p0p100;1974;0;992;i
DD;aflcini992;p0p100;1975;0;992;i
DD;aflcini992;p0p100;1976;0;992;i
DD;aflcini992;p0p100;1977;0;992;i
DD;aflcini992;p0p100;1978;0;992;i
DD;aflcini992;p0p100;1979;0;992;i
DD;aflcini992;p0p100;1980;0;992;i
DD;aflcini992;p0p100;1981;0;992;i
DD;aflcini992;p0p100;1982;0;992;i
DD;aflcini992;p0p100;1983;0;992;i
DD;aflcini992;p0p100;1984;0;992;i
DD;aflcini992;p0p100;1985;0;992;i
DD;aflcini992;p0p100;1986;0;992;i
DD;aflcini992;p0p100;1987;0;992;i
DD;aflcini992;p0p100;1988;0;992;i
DD;aflcini992;p0p100;1989;0;992;i
DD;aflcini992;p0p100;1990;0;992;i
DD;acaincj992;p99.996p99.997;1980;72365.40000000001;992;j
DD;acaincj992;p99.996p99.997;1981;100795.3;992;j
DD;acaincj992;p99.996p99.997;1982;134659.6;992;j
DD;acaincj992;p99.996p99.997;1983;178292.6;992;j
DD;acaincj992;p99.996p99.997;1984;214571.8;992;j
DD;acaincj992;p99.996p99.997;1985;256700;992;j
DD;acaincj992;p99.996p99.997;1986;276261.9;992;j
DD;acaincj992;p99.996p99.997;1987;297447.3;992;j
DD;acaincj992;p99.996p99.997;1988;320725.3;992;j
DD;acaincj992;p99.996p99.997;1989;335807.4;992;j
