country;variable;percentile;year;value;age;pop
MP;ahweali992;p0p100;2002;152040.7;992;i
MP;ahweali992;p0p100;2003;161261.8;992;i
MP;ahweali992;p0p100;2004;170559.9;992;i
MP;ahweali992;p0p100;2005;162160.8;992;i
MP;ahweali992;p0p100;2006;164615.7;992;i
MP;ahweali992;p0p100;2007;160674.3;992;i
MP;ahweali992;p0p100;2008;136592;992;i
MP;ahweali992;p0p100;2009;110339.7;992;i
MP;ahweali992;p0p100;2010;117608.4;992;i
MP;ahweali992;p0p100;2011;109330;992;i
MP;ahweali992;p0p100;2012;111560.4;992;i
MP;ahweali992;p0p100;2013;121726;992;i
MP;ahweali992;p0p100;2014;134540.6;992;i
MP;ahweali992;p0p100;2015;142551.5;992;i
MP;ahweali992;p0p100;2016;194983;992;i
MP;ahweali992;p0p100;2017;257527.8;992;i
MP;ahweali992;p0p100;2018;205009.3;992;i
MP;ahweali992;p0p100;2019;188066.4;992;i
MP;ahweali992;p0p100;2020;149333.6;992;i
MP;ahweali992;p0p100;2021;166538.6;992;i
MP;ahweali992;p0p100;2022;193743.5;992;i
MP;ahweali992;p0p100;2023;223135.6;992;i
MP;ahweali992;p0p100;2024;265375.4;992;i
MP;mcwhoui999;p0p100;2002;621889600;999;i
MP;mcwhoui999;p0p100;2003;661537152;999;i
MP;mcwhoui999;p0p100;2004;677241984;999;i
MP;mcwhoui999;p0p100;2005;624724672;999;i
MP;mcwhoui999;p0p100;2006;602529408;999;i
MP;mcwhoui999;p0p100;2007;546131968;999;i
MP;mcwhoui999;p0p100;2008;450853568;999;i
MP;mcwhoui999;p0p100;2009;348230848;999;i
MP;mcwhoui999;p0p100;2010;333452192;999;i
MP;mcwhoui999;p0p100;2011;290986656;999;i
MP;mcwhoui999;p0p100;2012;283962048;999;i
MP;mcwhoui999;p0p100;2013;297594400;999;i
MP;mcwhoui999;p0p100;2014;320151872;999;i
MP;mcwhoui999;p0p100;2015;341533632;999;i
MP;mcwhoui999;p0p100;2016;471956480;999;i
MP;mcwhoui999;p0p100;2017;610635904;999;i
MP;mcwhoui999;p0p100;2018;483587200;999;i
MP;mcwhoui999;p0p100;2019;428853696;999;i
MP;mcwhoui999;p0p100;2020;322838240;999;i
MP;mcwhoui999;p0p100;2021;358956384;999;i
MP;mcwhoui999;p0p100;2022;440111392;999;i
MP;mcwhoui999;p0p100;2023;511799712;999;i
MP;mcwhoui999;p0p100;2024;600694400;999;i
MP;aflcini992;p0p100;2002;0;992;i
MP;aflcini992;p0p100;2003;0;992;i
MP;aflcini992;p0p100;2004;0;992;i
MP;aflcini992;p0p100;2005;0;992;i
MP;aflcini992;p0p100;2006;0;992;i
MP;aflcini992;p0p100;2007;0;992;i
MP;aflcini992;p0p100;2008;0;992;i
MP;aflcini992;p0p100;2009;0;992;i
MP;aflcini992;p0p100;2010;0;992;i
MP;aflcini992;p0p100;2011;0;992;i
MP;aflcini992;p0p100;2012;0;992;i
MP;aflcini992;p0p100;2013;0;992;i
MP;aflcini992;p0p100;2014;0;992;i
MP;aflcini992;p0p100;2015;0;992;i
MP;aflcini992;p0p100;2016;0;992;i
MP;aflcini992;p0p100;2017;0;992;i
MP;aflcini992;p0p100;2018;0;992;i
MP;aflcini992;p0p100;2019;0;992;i
MP;aflcini992;p0p100;2020;0;992;i
MP;aflcini992;p0p100;2021;0;992;i
MP;aflcini992;p0p100;2022;0;992;i
MP;aflcini992;p0p100;2023;0;992;i
MP;aflcini999;p0p100;2002;0;999;i
MP;aflcini999;p0p100;2003;0;999;i
MP;aflcini999;p0p100;2004;0;999;i
MP;aflcini999;p0p100;2005;0;999;i
MP;aflcini999;p0p100;2006;0;999;i
MP;aflcini999;p0p100;2007;0;999;i
MP;aflcini999;p0p100;2008;0;999;i
MP;aflcini999;p0p100;2009;0;999;i
MP;aflcini999;p0p100;2010;0;999;i
MP;aflcini999;p0p100;2011;0;999;i
MP;aflcini999;p0p100;2012;0;999;i
MP;aflcini999;p0p100;2013;0;999;i
MP;aflcini999;p0p100;2014;0;999;i
MP;aflcini999;p0p100;2015;0;999;i
MP;aflcini999;p0p100;2016;0;999;i
MP;aflcini999;p0p100;2017;0;999;i
MP;aflcini999;p0p100;2018;0;999;i
MP;aflcini999;p0p100;2019;0;999;i
MP;aflcini999;p0p100;2020;0;999;i
MP;aflcini999;p0p100;2021;0;999;i
MP;aflcini999;p0p100;2022;0;999;i
MP;aflcini999;p0p100;2023;0;999;i
MP;acwbusi992;p0p100;2002;39125.2;992;i
MP;acwbusi992;p0p100;2003;39702.7;992;i
MP;acwbusi992;p0p100;2004;39635.7;992;i
MP;acwbusi992;p0p100;2005;37083.2;992;i
MP;acwbusi992;p0p100;2006;37668.3;992;i
MP;acwbusi992;p0p100;2007;38528.5;992;i
