country;variable;percentile;year;value;age;pop
VI;ahweali999;p0p100;2002;117138;999;i
VI;ahweali999;p0p100;2003;117554;999;i
VI;ahweali999;p0p100;2004;121445.1;999;i
VI;ahweali999;p0p100;2005;126194.1;999;i
VI;ahweali999;p0p100;2006;130505.5;999;i
VI;ahweali999;p0p100;2007;136668.9;999;i
VI;ahweali999;p0p100;2008;139047.3;999;i
VI;ahweali999;p0p100;2009;137554;999;i
VI;ahweali999;p0p100;2010;140882.6;999;i
VI;ahweali999;p0p100;2011;133161.3;999;i
VI;ahweali999;p0p100;2012;116541.2;999;i
VI;ahweali999;p0p100;2013;112550.3;999;i
VI;ahweali999;p0p100;2014;113959.1;999;i
VI;ahweali999;p0p100;2015;119756;999;i
VI;ahweali999;p0p100;2016;127083.5;999;i
VI;ahweali999;p0p100;2017;131001.7;999;i
VI;ahweali999;p0p100;2018;137993.7;999;i
VI;ahweali999;p0p100;2019;148409.6;999;i
VI;ahweali999;p0p100;2020;161108.8;999;i
VI;ahweali999;p0p100;2021;163271.9;999;i
VI;ahweali999;p0p100;2022;161992.9;999;i
VI;ahweali999;p0p100;2023;164604.1;999;i
VI;ahweali999;p0p100;2024;168277.5;999;i
VI;anwagri992;p0p100;2002;43334.10000000001;992;i
VI;anwagri992;p0p100;2003;41660.7;992;i
VI;anwagri992;p0p100;2004;42117.10000000001;992;i
VI;anwagri992;p0p100;2005;42708;992;i
VI;anwagri992;p0p100;2006;42452.3;992;i
VI;anwagri992;p0p100;2007;42867.3;992;i
VI;anwagri992;p0p100;2008;41540.2;992;i
VI;anwagri992;p0p100;2009;37634.3;992;i
VI;anwagri992;p0p100;2010;36103.2;992;i
VI;anwagri992;p0p100;2011;32287.9;992;i
VI;anwagri992;p0p100;2012;26437.3;992;i
VI;anwagri992;p0p100;2013;24454.9;992;i
VI;anwagri992;p0p100;2014;23477.2;992;i
VI;anwagri992;p0p100;2015;22580.9;992;i
VI;anwagri992;p0p100;2016;25871.1;992;i
VI;anwagri992;p0p100;2017;24770.8;992;i
VI;anwagri992;p0p100;2018;23317.3;992;i
VI;anwagri992;p0p100;2019;25029.3;992;i
VI;anwagri992;p0p100;2020;29516.5;992;i
VI;anwagri992;p0p100;2021;34377.3;992;i
VI;anwagri992;p0p100;2022;32386.9;992;i
VI;anwagri992;p0p100;2023;30154.1;992;i
VI;anwagri992;p0p100;2024;30828.4;992;i
VI;mcwhoui999;p0p100;2002;1195964032;999;i
VI;mcwhoui999;p0p100;2003;1211628800;999;i
VI;mcwhoui999;p0p100;2004;1268401792;999;i
VI;mcwhoui999;p0p100;2005;1324572032;999;i
VI;mcwhoui999;p0p100;2006;1380611968;999;i
VI;mcwhoui999;p0p100;2007;1462171904;999;i
VI;mcwhoui999;p0p100;2008;1547087872;999;i
VI;mcwhoui999;p0p100;2009;1557044864;999;i
VI;mcwhoui999;p0p100;2010;1575397376;999;i
VI;mcwhoui999;p0p100;2011;1516809472;999;i
VI;mcwhoui999;p0p100;2012;1334673024;999;i
VI;mcwhoui999;p0p100;2013;1269836928;999;i
VI;mcwhoui999;p0p100;2014;1271148928;999;i
VI;mcwhoui999;p0p100;2015;1298689280;999;i
VI;mcwhoui999;p0p100;2016;1303805056;999;i
VI;mcwhoui999;p0p100;2017;1293029248;999;i
VI;mcwhoui999;p0p100;2018;1311718144;999;i
VI;mcwhoui999;p0p100;2019;1348049408;999;i
VI;mcwhoui999;p0p100;2020;1369751936;999;i
VI;mcwhoui999;p0p100;2021;1332474624;999;i
VI;mcwhoui999;p0p100;2022;1367688960;999;i
VI;mcwhoui999;p0p100;2023;1402954368;999;i
VI;mcwhoui999;p0p100;2024;1420941824;999;i
VI;aflcini992;p0p100;2002;0;992;i
