country;variable;percentile;year;value;age;pop
XI;acwnfai992;p0p100;2009;132288;992;i
XI;acwnfai992;p0p100;2010;123336.9;992;i
XI;acwnfai992;p0p100;2011;124432.7;992;i
XI;acwnfai992;p0p100;2012;117813.6;992;i
XI;acwnfai992;p0p100;2013;117642.4;992;i
XI;acwnfai992;p0p100;2014;119557.5;992;i
XI;acwnfai992;p0p100;2015;119109.1;992;i
XI;acwnfai992;p0p100;2016;120538.9;992;i
XI;acwnfai992;p0p100;2017;121832.5;992;i
XI;acwnfai992;p0p100;2018;123323.3;992;i
XI;acwnfai992;p0p100;2019;126882;992;i
XI;acwnfai992;p0p100;2020;123406.3;992;i
XI;acwnfai992;p0p100;2021;131152.5;992;i
XI;acwnfai992;p0p100;2022;136326.4;992;i
XI;acwnfai992;p0p100;2023;138873.4;992;i
XI;acwnfai992;p0p100;2024;143183.7;992;i
XI;aflcini992;p0p100;2016;0;992;i
XI;aflcini992;p0p100;2017;0;992;i
XI;aflcini992;p0p100;2018;0;992;i
XI;aflcini992;p0p100;2019;0;992;i
XI;aflcini992;p0p100;2020;0;992;i
XI;aflcini992;p0p100;2021;0;992;i
XI;aflcini992;p0p100;2022;0;992;i
XI;aflcini992;p0p100;2023;0;992;i
XI;acwdebi992;p0p100;2009;585111.2000000001;992;i
XI;acwdebi992;p0p100;2010;524807.7000000001;992;i
XI;acwdebi992;p0p100;2011;542673.6;992;i
XI;acwdebi992;p0p100;2012;520187.1;992;i
XI;acwdebi992;p0p100;2013;499647.8;992;i
XI;acwdebi992;p0p100;2014;502822.6;992;i
XI;acwdebi992;p0p100;2015;499688.6;992;i
XI;acwdebi992;p0p100;2016;502182.5;992;i
XI;acwdebi992;p0p100;2017;505703.8;992;i
XI;acwdebi992;p0p100;2018;494857.2;992;i
XI;acwdebi992;p0p100;2019;497264.7;992;i
XI;acwdebi992;p0p100;2020;499460.1;992;i
XI;acwdebi992;p0p100;2021;537764.9;992;i
XI;acwdebi992;p0p100;2022;540156.6;992;i
XI;acwdebi992;p0p100;2023;526412.1;992;i
XI;acwdebi992;p0p100;2024;542750.5;992;i
XI;aflcini999;p0p100;2016;0;999;i
XI;aflcini999;p0p100;2017;0;999;i
XI;aflcini999;p0p100;2018;0;999;i
XI;aflcini999;p0p100;2019;0;999;i
XI;aflcini999;p0p100;2020;0;999;i
XI;aflcini999;p0p100;2021;0;999;i
XI;aflcini999;p0p100;2022;0;999;i
XI;aflcini999;p0p100;2023;0;999;i
XI;apinnxi992;p0p100;2016;0;992;i
XI;apinnxi992;p0p100;2017;0;992;i
XI;apinnxi992;p0p100;2018;0;992;i
XI;apinnxi992;p0p100;2019;0;992;i
XI;apinnxi992;p0p100;2020;0;992;i
XI;apinnxi992;p0p100;2021;0;992;i
XI;apinnxi992;p0p100;2022;0;992;i
XI;apinnxi992;p0p100;2023;0;992;i
XI;apinnxi999;p0p100;2016;0;999;i
XI;apinnxi999;p0p100;2017;0;999;i
XI;apinnxi999;p0p100;2018;0;999;i
XI;apinnxi999;p0p100;2019;0;999;i
XI;apinnxi999;p0p100;2020;0;999;i
XI;apinnxi999;p0p100;2021;0;999;i
XI;apinnxi999;p0p100;2022;0;999;i
XI;apinnxi999;p0p100;2023;0;999;i
XI;andproi992;p0p100;2009;66180.6;992;i
XI;andproi992;p0p100;2010;62946.9;992;i
XI;andproi992;p0p100;2011;63420.3;992;i
XI;andproi992;p0p100;2012;58835.7;992;i
XI;andproi992;p0p100;2013;58872.5;992;i
XI;andproi992;p0p100;2014;60168.10000000001;992;i
XI;andproi992;p0p100;2015;59994;992;i
XI;andproi992;p0p100;2016;60446.10000000001;992;i
XI;andproi992;p0p100;2017;61321.9;992;i
XI;andproi992;p0p100;2018;61660.7;992;i
XI;andproi992;p0p100;2019;62271.7;992;i
XI;andproi992;p0p100;2020;55213.9;992;i
XI;andproi992;p0p100;2021;61196.4;992;i
XI;andproi992;p0p100;2022;64350.9;992;i
XI;andproi992;p0p100;2023;66342.5;992;i
XI;andproi992;p0p100;2024;68401.6;992;i
XI;acwbooi992;p0p100;2009;249303.8;992;i
XI;acwbooi992;p0p100;2010;247496.1;992;i
XI;acwbooi992;p0p100;2011;251786;992;i
XI;acwbooi992;p0p100;2012;240637.9;992;i
XI;acwbooi992;p0p100;2013;253679.1;992;i
XI;acwbooi992;p0p100;2014;273776.6;992;i
XI;acwbooi992;p0p100;2015;287122.3;992;i
XI;acwbooi992;p0p100;2016;306646;992;i
XI;acwbooi992;p0p100;2017;322076.6;992;i
